                     mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
mu_round[211]       0.153  0.157  -0.215    0.374      0.036    0.025      27.0      21.0   1.18
mu_round[212]       0.158  0.161  -0.199    0.425      0.037    0.027      27.0      43.0   1.20
mu_round[213]       0.189  0.128  -0.055    0.403      0.006    0.005     413.0     138.0   1.04
mu_round[214]       0.167  0.141  -0.128    0.400      0.025    0.018      32.0      39.0   1.14
mu_round[215]       0.189  0.127  -0.040    0.407      0.008    0.006     227.0     185.0   1.05
mu_round[216]       0.182  0.130  -0.042    0.418      0.007    0.006     312.0     132.0   1.05
mu_round[217]       0.189  0.135  -0.019    0.487      0.009    0.009     213.0      79.0   1.05
mu_round[218]       0.184  0.126  -0.047    0.408      0.007    0.005     210.0     170.0   1.03
mu_round[219]       0.169  0.139  -0.086    0.411      0.019    0.013      42.0      62.0   1.09
mu_round[220]       0.149  0.171  -0.223    0.465      0.045    0.033      25.0      20.0   1.17
mu_round[221]       0.186  0.140  -0.074    0.396      0.013    0.009     122.0      81.0   1.07
mu_round[222]       0.175  0.136  -0.065    0.413      0.010    0.007     154.0      89.0   1.06
mu_round[223]       0.163  0.158  -0.205    0.363      0.039    0.028      22.0      28.0   1.17
mu_round[224]       0.219  0.160  -0.032    0.587      0.030    0.027      33.0      29.0   1.15
mu_round[225]       0.213  0.047   0.124    0.300      0.002    0.001     532.0    2678.0   1.04
mu_round[226]       0.196  0.085   0.043    0.341      0.010    0.007      82.0     109.0   1.07
mu_round[227]       0.215  0.106   0.042    0.402      0.013    0.013      50.0      99.0   1.14
mu_round[228]       0.221  0.114   0.064    0.463      0.022    0.019      27.0      66.0   1.20
mu_round[229]       0.227  0.119   0.047    0.523      0.019    0.018      49.0      40.0   1.14
mu_round[230]       0.219  0.113   0.037    0.440      0.010    0.008     126.0      65.0   1.15
mu_round[231]       0.219  0.107   0.027    0.423      0.011    0.012      83.0      79.0   1.14
mu_round[232]       0.229  0.133   0.063    0.545      0.035    0.033      22.0      19.0   1.24
mu_round[233]       0.215  0.110   0.041    0.446      0.009    0.010     100.0      94.0   1.10
mu_round[234]       0.193  0.114  -0.049    0.370      0.013    0.009      58.0      55.0   1.15
mu_round[235]       0.222  0.122   0.069    0.510      0.025    0.022      26.0      21.0   1.20
mu_round[236]       0.236  0.123   0.045    0.507      0.026    0.023      24.0      17.0   1.20
mu_round[237]       0.218  0.114   0.047    0.492      0.010    0.009     145.0      42.0   1.12
mu_round[238]       0.202  0.103   0.048    0.406      0.006    0.004     130.0     116.0   1.10
mu_round[239]       0.222  0.108   0.034    0.411      0.011    0.012      51.0      92.0   1.14
mu_round[240]       0.237  0.133   0.002    0.453      0.010    0.008     153.0      85.0   1.08
mu_round[241]       0.241  0.148  -0.000    0.569      0.035    0.031      24.0      30.0   1.18
mu_round[242]       0.207  0.127  -0.020    0.436      0.014    0.010      56.0      73.0   1.11
mu_round[243]       0.224  0.117   0.007    0.449      0.004    0.004     650.0     252.0   1.04
mu_round[244]       0.230  0.125   0.005    0.440      0.012    0.012      52.0     161.0   1.08
mu_round[245]       0.226  0.122  -0.004    0.427      0.005    0.006     177.0     156.0   1.07
mu_round[246]       0.273  0.191  -0.005    0.707      0.056    0.046      21.0      13.0   1.21
mu_round[247]       0.203  0.132  -0.084    0.401      0.020    0.014      42.0      35.0   1.12
mu_round[248]       0.230  0.125  -0.004    0.445      0.005    0.006     202.0     167.0   1.05
mu_round[249]       0.222  0.127   0.020    0.465      0.009    0.008     146.0      85.0   1.09
mu_round[250]       0.231  0.124   0.004    0.448      0.008    0.007     200.0     111.0   1.06
mu_round[251]       0.263  0.182   0.041    0.815      0.055    0.046      21.0      20.0   1.20
mu_round[252]       0.225  0.125   0.011    0.450      0.010    0.008      94.0     183.0   1.07
mu_round[253]       0.222  0.123   0.003    0.452      0.006    0.007     107.0     230.0   1.06
mu_round[254]       0.208  0.125  -0.044    0.411      0.008    0.006     181.0     146.0   1.07
mu_round[255]       0.215  0.129  -0.031    0.435      0.006    0.006     325.0     296.0   1.07
mu_round[256]       0.207  0.136  -0.067    0.425      0.017    0.012      46.0      81.0   1.12
mu_round[257]       0.209  0.131  -0.056    0.425      0.007    0.006     277.0      48.0   1.08
mu_round[258]       0.210  0.125   0.005    0.453      0.007    0.006     122.0     221.0   1.09
mu_round[259]       0.225  0.125  -0.011    0.432      0.007    0.009     126.0     325.0   1.08
mu_round[260]       0.218  0.126  -0.012    0.439      0.005    0.005     539.0     210.0   1.05
mu_round[261]       0.194  0.156  -0.203    0.427      0.035    0.025      29.0      16.0   1.22
mu_round[262]       0.181  0.166  -0.244    0.404      0.041    0.030      26.0      18.0   1.22
mu_round[263]       0.218  0.129  -0.012    0.435      0.008    0.007     149.0     263.0   1.08
mu_round[264]       0.228  0.129   0.011    0.496      0.013    0.011      63.0     128.0   1.07
